title,company,location,date,description
Business Analyst,Apollo Hospitals,"Chennai, Tamil Nadu, India",1 week ago,Actively Hiring
IT Service Desk (Desktop Support),Wipro,"Hyderabad, Telangana, India",2 weeks ago,Actively Hiring
Information Technology Manager,Accor,Mumbai Metropolitan Region,4 weeks ago,Actively Hiring
Technical Support Engineer,LTIMindtree,"Hyderabad, Telangana, India",2 weeks ago,Actively Hiring
HRMS Analyst,airtel,"Gurugram, Haryana, India",3 weeks ago,Actively Hiring
Technical Support Associate,Tech Mahindra,"Hyderabad, Telangana, India",2 weeks ago,Actively Hiring
IT Helpdesk Analyst,Sprinklr,"Bengaluru, Karnataka, India",2 months ago,Actively Hiring
Customer Success Executive,Microsoft,"Bengaluru, Karnataka, India",3 weeks ago,Actively Hiring
IT Helpdesk Analyst (US Shift),Sprinklr,"Gurgaon, Haryana, India",2 months ago,Actively Hiring
Information Technology Audit Consultant,Nykaa,"Gurugram, Haryana, India",5 days ago,Actively Hiring
Technology Support Specialist,Infosys BPM,"Bengaluru, Karnataka, India",1 month ago,Actively Hiring
Product Specialist,Freshworks,"Bengaluru, Karnataka, India",2 months ago,Actively Hiring
Desktop Support Engineer,hackajob,"Mumbai, Maharashtra, India",3 weeks ago,Actively Hiring
Customer Support Specialist,Tech Mahindra,"Bengaluru, Karnataka, India",2 days ago,Actively Hiring
Admin Manager,Adani Group,Greater Kolkata Area,1 month ago,Actively Hiring
Manager- IT Service Delivery Lead,SUN PHARMA,"Mumbai, Maharashtra, India",1 week ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
L1 Support Engineer,Avestan Technologies LLC,"Kanpur, Uttar Pradesh, India",2 months ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Executive - IT Infrastructure,Torrent Power,"Ahmedabad, Gujarat, India",1 week ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
service managment,Tata Consultancy Services,"Kolkata, West Bengal, India",2 weeks ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
IT Helpdesk Analyst,Sprinklr,"Gurgaon, Haryana, India",2 months ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
Jr. Analyst - Global Data Mgmt,Colgate-Palmolive,Mumbai Metropolitan Region,2 months ago,Actively Hiring
Manager MIS & Accounts,Godrej Properties Limited,"Mumbai, Maharashtra, India",1 week ago,Actively Hiring
IT helpdesk,Virtusa,"Gurgaon, Haryana, India",1 week ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Data Center Technician,Microsoft,"Hyderabad, Telangana, India",3 weeks ago,Actively Hiring
IT & Technology Procurement Manager,Jio,"Mumbai, Maharashtra, India",3 weeks ago,Actively Hiring
Technical Lead,Tech Mahindra,"Bangalore Urban, Karnataka, India",2 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",5 days ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Service Desk,Tata Consultancy Services,"Noida, Uttar Pradesh, India",3 weeks ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 week ago,Actively Hiring
Digital Product Owner,Volvo Group,"Bengaluru, Karnataka, India",3 weeks ago,Actively Hiring
"Senior Executive - Information Systems, Corporate",Viacom18 Media Private Limited,"Mumbai, Maharashtra, India",2 weeks ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago,Actively Hiring
Head- IT Network,Ujjivan Small Finance Bank,"Bengaluru, Karnataka, India",2 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",5 days ago,Actively Hiring
IT Manager,Accor,Mumbai Metropolitan Region,1 week ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 week ago,Actively Hiring
Network Admin,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Desktop Support Engineer,ThoughtSol Infotech Pvt. Ltd,"Gurugram, Haryana, India",3 weeks ago,Actively Hiring
Technology Analyst - IT Services,Infosys BPM,"Bengaluru, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
service managment,Tata Consultancy Services,"Kolkata, West Bengal, India",2 weeks ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
IT Helpdesk Analyst,Sprinklr,"Gurgaon, Haryana, India",2 months ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
Jr. Analyst - Global Data Mgmt,Colgate-Palmolive,Mumbai Metropolitan Region,2 months ago,Actively Hiring
Manager MIS & Accounts,Godrej Properties Limited,"Mumbai, Maharashtra, India",1 week ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago,Actively Hiring
Head- IT Network,Ujjivan Small Finance Bank,"Bengaluru, Karnataka, India",2 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",5 days ago,Actively Hiring
IT Manager,Accor,Mumbai Metropolitan Region,1 week ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 week ago,Actively Hiring
Network Admin,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Desktop Support Engineer,ThoughtSol Infotech Pvt. Ltd,"Gurugram, Haryana, India",3 weeks ago,Actively Hiring
Technology Analyst - IT Services,Infosys BPM,"Bengaluru, Karnataka, India",1 month ago,Actively Hiring
Information Technology Manager,Accor,"Khopoli, Maharashtra, India",5 days ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Analyst,IntegriChain,"Pune, Maharashtra, India",3 weeks ago,Actively Hiring
Manager - IT Procurement,Razorpay,"Bengaluru, Karnataka, India",1 week ago,Actively Hiring
HEAD - INFORMATION TECHNOLOGY,YO HR Consultancy,Greater Kolkata Area,1 year ago,Actively Hiring
Chief Information Officer,Nyati Group,"Pune, Maharashtra, India",3 days ago,Actively Hiring
IT Support,Confluent,"Bengaluru, Karnataka, India",2 weeks ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",5 days ago,Actively Hiring
Desktop Support Engineer,Aryan Imaging and Business Consultants Pvt. Ltd.,"Pune, Maharashtra, India",2 months ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",5 days ago,Actively Hiring
IT Support Executive,Thyrocare Technologies Ltd.,"Navi Mumbai, Maharashtra, India",6 days ago,Actively Hiring
Head - IT - 11032,GMR Group,"Hyderabad, Telangana, India",1 month ago,Actively Hiring
Technical Support Engineering,Microsoft,"Maharashtra, India",3 weeks ago,Actively Hiring
IT Consulting,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
"Senior Manager, IT Operations",Parexel,India,4 weeks ago,Actively Hiring
Datacenter Manager,Atos,"Pune, Maharashtra, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",3 weeks ago,Actively Hiring
Desktop Support Specialist,Teleperformance,"Gurugram, Haryana, India",3 weeks ago,Actively Hiring
Support Specialist - IT Admin,NielsenIQ,"Chennai, Tamil Nadu, India",4 weeks ago,Actively Hiring
Manager Information Technology,Sinch,"Noida, Uttar Pradesh, India",2 months ago,Actively Hiring
Service Desk Management - Lead,Tata Consultancy Services,"Bengaluru, Karnataka, India",2 weeks ago,Actively Hiring
Information Technology Help Desk Analyst,Exela Technologies,"Bangalore Urban, Karnataka, India",2 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Goa, India",3 weeks ago,Actively Hiring
Desktop Support Engineer,Feasible Technologies Pvt Ltd,"Bengaluru, Karnataka, India",3 months ago,Actively Hiring
Technology Support Specialist,Infosys BPM,"Pune, Maharashtra, India",1 month ago,Actively Hiring
Senior Manager IT & Infra Workspace,AB InBev,"Bengaluru, Karnataka, India",4 weeks ago,Actively Hiring
Head of Technology,Talentiser,"Mumbai, Maharashtra, India",1 week ago,Actively Hiring
Technical Support Advisory,Microsoft,"Bengaluru, Karnataka, India",3 weeks ago,Actively Hiring
Assistant Manager – IT,Macawber Beekay Pvt Ltd.,"Noida, Uttar Pradesh, India",2 weeks ago,Actively Hiring
Job opening with TOSHIBA !,Toshiba Software (India) Pvt. Ltd.,"Bagalur, Karnataka, India",5 months ago,Actively Hiring
Technical Support Engineer,LTIMindtree,"Hyderabad, Telangana, India",2 weeks ago,Actively Hiring
Technical Support Engineer,XenonStack,"Sahibzada Ajit Singh Nagar, Punjab, India",2 months ago,Actively Hiring
Technical Support Engineering,Microsoft,"Maharashtra, India",3 weeks ago,Actively Hiring
Desktop Support Engineer,Birlasoft,"Ratnagiri, Maharashtra, India",2 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Delhi, India",3 weeks ago,Actively Hiring
IT Support,Medpace,"Navi Mumbai, Maharashtra, India",2 months ago,Actively Hiring
Project Coordinator,Egon Zehnder,"Gurugram, Haryana, India",1 week ago,Actively Hiring
Associate Director IT,NetSysCon Consulting,"Ahmedabad, Gujarat, India",9 months ago,Actively Hiring
IT Project Management,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Network Engineer-L2/L3 Information Technology (IT),Zigsaw,"Udaipur, Rajasthan, India",1 year ago,Actively Hiring
Technical Support Engineering,Microsoft,"Delhi, India",3 weeks ago,Actively Hiring
DCO Trainee,Amazon Web Services (AWS),Mumbai Metropolitan Region,1 month ago,Actively Hiring
DCO Trainee,Amazon Web Services (AWS),Mumbai Metropolitan Region,1 month ago,Actively Hiring
Technical Support Associate,ZS,"Gurgaon, Haryana, India",4 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Telangana, India",3 weeks ago,Actively Hiring
Technical Analyst-Tester,Crum & Forster,"Bangalore Urban, Karnataka, India",1 month ago,Actively Hiring
Director - Technology,Sikich India,"Bengaluru, Karnataka, India",2 days ago,Actively Hiring
Technical Support Engineering,Microsoft,"Goa, India",3 weeks ago,Actively Hiring
DCO Trainee,Amazon Web Services (AWS),Mumbai Metropolitan Region,1 month ago,Actively Hiring
Assistant Manager IT,Accor,"Coimbatore, Tamil Nadu, India",1 week ago,Actively Hiring
Technology Support I,JPMorgan Chase & Co.,"Bengaluru, Karnataka, India",1 week ago,Actively Hiring
Help Desk Support I,System Soft Technologies,"Hyderabad, Telangana, India",2 months ago,Actively Hiring
Service Desk Agent,Tata Consultancy Services,"Hyderabad, Telangana, India",4 weeks ago,Actively Hiring
Head of Technology,Confidential,"New Delhi, Delhi, India",1 week ago,Actively Hiring
Associate Manager - Business Continuity Management,Infosys,"Bengaluru, Karnataka, India",2 weeks ago,Actively Hiring
Information Technology Manager-Novotel New Delhi City Centre,Accor,"Delhi Cantonment, Delhi, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Madhya Pradesh, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Delhi, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Odisha, India",3 weeks ago,Actively Hiring
Information Technology Specialist,Tech Mahindra,"Noida, Uttar Pradesh, India",6 days ago,Actively Hiring
Technical Support Engineering,Microsoft,"Haryana, India",3 weeks ago,Actively Hiring
Business Analyst,izmo ltd,"Bangalore Urban, Karnataka, India",21 hours ago,Actively Hiring
Technical Support Engineering,Microsoft,"Daman and Diu, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Uttar Pradesh, India",3 weeks ago,Actively Hiring
Database Administrator,Myntra,"Bengaluru, Karnataka, India",1 week ago,Actively Hiring
Technical Support Engineering,Microsoft,"Karnataka, India",3 weeks ago,Actively Hiring
IT Service Manager,Quess Corp Limited,"Bengaluru, Karnataka, India",1 day ago,Actively Hiring
Technical Support Engineering,Microsoft,"Ladakh, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Haryana, India",3 weeks ago,Actively Hiring
IT Project Management,Infosys,"Bengaluru East, Karnataka, India",2 months ago,Actively Hiring
IT End User Support Specialist L1,Sangoma,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bihar, India",3 weeks ago,Actively Hiring
Technical Support Engineering,Microsoft,"Andhra Pradesh, India",3 weeks ago,Actively Hiring
Information Technology Service Management Manager,Teleperformance,"Bangalore Urban, Karnataka, India",1 week ago,Actively Hiring
IT Delivery,Infosys,"Bengaluru East, Karnataka, India",1 month ago,Actively Hiring
Technical Support Engineering,Microsoft,"Bengaluru, Karnataka, India",4 days ago,Actively Hiring
